MATPRI    |3308TP          |ESENCIA EXTRACTO CABOTINE FEM |U      |   140.000|04/14/2014|T  
MATPRI    |3310TP          |ESENCIA EXTRACTO BULGARI MASC |U      |   140.000|02/24/2014|T  
MATPRI    |3311TP          |ESENCIA EXTRACTO DOLCE GABANNA|U      |   170.000|04/16/2014|T  
MATPRI    |3323TP          |ESENCIA EXTRACTO ARMANI MANÍA |U      |   140.000|02/24/2014|T  
MATPRI    |3324TP          |ESENCIA EXTRACTO BULGARI FEM  |U      |   125.000|10/15/2009|T  
MATPRI    |3325TP          |ESENCIA DOLCE GABANNA MASC    |U      |   140.000|04/16/2014|T  
MATPRI    |3326TP          |ESENCIA EXTRACTO DOLCE VITA FE|U      |   160.000|09/06/2012|T  
MATPRI    |3327TP          |ESENCIA EXTRACTO EDEN FEM     |U      |   140.000|11/27/2013|T  
MATPRI    |3329TP          |ESENCIA EQUILIBRIO            |U      |    34.700|11/07/2008|T  
MATPRI    |3330TP          |ESENCIA EXTRACTO GENTELMAN MAS|U      |   140.000|10/10/2012|T  
MATPRI    |3331TP          |ESENCIA EXTRACTO HOT COUTURE F|U      |   140.000|04/22/2014|T  
MATPRI    |3332TP          |ESENCIA EXTRACTO ROMANCE FEM  |U      |   140.000|05/20/2014|T  
MATPRI    |3333TP          |ESENCIA EXTRACTO ROMANCE MASC |U      |   110.000|12/08/2007|T  
IMPOR     |BO15E           |BOMBA ENG 15 ORO PULS NEGRO   |U      |     0.120|12/12/2007|F  
DARACT    |LISTA           |LISTADO FRAGANCIAS            |P      |     0.020|12/12/2007|F  
DARACT    |ETIOV           |ETIQUETA OVALITO 2X1          |P      |     0.006|12/12/2007|F  
DISPUL    |IBOEN20ORO      |BBA ORO BRILLO EN 20 P/NEGRO  |U      |     0.140|04/18/2011|F  
CRISTAL   |IFSTAISHO       |FCO TAISHO MCF PE MASC        |P      |     1.800|11/27/2009|F  
CRISTAL   |ITATAISHO       |TAPA TAISHO MCF PE MASC       |P      |     1.395|05/25/2013|F  
WDA       |ICAMCPEF        |CAJA MC PERFUME FEMENINO      |P      |     1.274|09/07/2010|F  
INTER     |ITAROS          |TAPA ROSITA C/STAMPING ORO    |P      |     0.678|03/22/2010|F  
CRISTAL   |I3060/IMP       |FCO BELL C/IMPRESION MCF      |P      |     1.150|11/27/2009|F  
WDA       |ICAMCPEM        |CAJA MC PERFUME MASCULINO     |P      |     0.591|12/12/2007|F  
MATPRI    |1845TP          |ESENCIA EXTRACTO KENZO D ETE F|U      |    39.180|03/11/2014|T  
MATPRI    |1956TP          |ESENCIA EXTRACTO LAGUNA FEM   |U      |    33.450|04/22/2014|T  
MATPRI    |1765TP          |ESENCIA EXTRACTO ARMANI MASC  |U      |    95.340|04/22/2014|T  
MATPRI    |2205-4TP        |ESENCIA EXTRACTO CHIC MASCULIN|U      |    59.200|02/11/2014|T  
MATPRI    |0892TP          |ESENCIA EXTRACTO NOA FEM      |U      |    30.000|10/07/2013|T  
MAYOL     |IROCIOIMP       |FRASCO ROCIO IMPRESO FLOR MC  |P      |     1.550|09/29/2011|F  
IMPOR     |IBO24410L       |BOMBA RS 24 BLANCA            |U      |     0.130|09/27/2011|F  
DISPUL    |IBORS18B/N      |BBA SPRAY BLANCA RS 18/415    |U      |     0.220|12/03/2013|F  
LOPEG     |IFLORMC         |FLOR MC PERFUMADOR X UNIDAD   |P      |     0.378|12/19/2013|F  
CALCO     |IETIQPRMC60     |ETIQ PR MC X 60               |P      |     0.270|12/01/2007|F  
NHP       |I132801.01.11   |FCO LEVEPET X 500 28/400      |P      |     2.794|04/11/2014|F  
DILENE    |ITAPA28PREC     |TAPA RS 28 PRECINTO           |P      |     0.105|10/22/2007|F  
IMPRS     |IIMPPET500      |IMPRESION LEVEPET X 500       |P      |     0.149|05/15/2010|F  
MATPRI    |1867TP          |ESENCIA P ROPA ROSA A         |U      |    17.650|04/29/2014|T  
MATPRI    |1756TP          |ESENCIA FRESIA PR             |U      |    18.000|05/21/2014|T  
MATPRI    |1754TP          |ESENCIA FANTASÍA JABÓN        |U      |    19.090|05/20/2014|T  
MATPRI    |1785-4TP        |ESENCIA CONY JABÓN            |U      |    20.200|05/06/2014|T  
SERAIN J  |ILYS0152        |ETALATO DIBUTILO LTS.         |P      |    12.600|12/17/2007|F  
COSMN     |ISH7            |SHAMPOO X LT                  |P      |     3.500|05/27/2009|T  
COSMN     |ISH40           |SHAMPOO X 40 ML.              |P      |     0.300|12/18/2007|F  
COSMN     |ISH60           |SHAMPOO X 60 ML               |P      |     0.340|12/18/2007|F  
CALCO     |IETIQDEMC60     |ETIQUETA DEO MC X 60          |P      |     0.270|01/01/2008|F  
CRISTAL   |IB24056         |FCO MARLENE X 56              |P      |     2.019|08/01/2012|F  
CRISTAL   |IM310030-S      |FCO RECT X 30 SATINADO        |P      |     1.635|05/20/2013|F  
CRISTAL   |IMRC18/H25/4C   |TAPA MET. 18 STONE  PL OPACA  |P      |     2.750|02/26/2014|F  
CRISTAL   |IM75050-8       |FCO OBELICO X 50 SATINADO     |P      |     2.531|05/25/2013|F  
CRISTAL   |IM310030        |FCO RECT X 30 CRISTAL         |P      |     2.492|02/12/2014|F  
CRISTAL   |IM31060         |FCO EQUATONE X 60 CRISTAL     |P      |     3.624|02/12/2014|F  
CRISTAL   |IM3050/0        |FCO VIOLETA II CRISTAL X 50   |P      |     4.077|02/12/2014|F  
CRISTAL   |I72             |BASE EST. PVC BCO P/FCO VIOL  |P      |     1.750|02/13/2014|F  
CRISTAL   |I77             |SOBRETAPA EST. PVC BCO P/VIOLE|P      |     2.800|02/12/2014|F  
CRISTAL   |I5              |PELICULA                      |P      |    30.000|10/12/2007|F  
CRISTAL   |IM74050/0-I     |FCO OBEL. X 50 CRIS IMP B EXPR|P      |     0.860|10/10/2007|F  
CRISTAL   |IRA1925C        |TAPA POTE APILABLE NAC CRISTAL|P      |     0.181|10/04/2007|F  
CRISTAL   |IRA1925B        |BASE POTE APILABLE NAC CRISTAL|P      |     0.181|10/04/2007|F  
CRISTAL   |IM3650/0-I      |FCO CHICAGO X 60 IMP MK FEM   |P      |     2.376|08/01/2012|F  
CRISTAL   |IM7054/0-I      |FCO GILDA X 54                |P      |     3.171|02/12/2014|F  
CRISTAL   |IOCA70154       |TAPA GILDA NEGRA NAC          |P      |     0.955|02/12/2014|F  
CRISTAL   |IM74050/0       |FCO OBELISCO X 50 CRISTAL     |P      |     2.200|06/04/2013|F  
CRISTAL   |IM4050/0-I      |FCO EUGENIA X 50 IMP SCREAM   |P      |     0.680|09/10/2007|F  
CRISTAL   |IM3112          |FCO CONICO LARGO              |P      |     0.641|05/25/2013|F  
CRISTAL   |IM31060-I       |FCO ECUAT. X 60 CRIS IMP LEFEU|P      |     0.902|11/27/2009|F  
CRISTAL   |IM13050-S       |FCO POTE X 50 SATINADO        |P      |     3.900|02/12/2014|F  
CRISTAL   |IM6450/0        |FCO SILVANA X 50 EN CRISTAL   |P      |     2.467|05/25/2013|F  
CRISTAL   |IM17050         |FCO XANDER X 50 RS 18 CRISTAL |P      |     0.630|06/05/2007|F  
CRISTAL   |IM6516          |FCO MINERVA X 14 RIO LINE CRIS|P      |     0.641|05/25/2013|F  
CRISTAL   |IM3060-S        |FCO BELL X 50 SATINADO        |P      |     0.710|05/07/2007|F  
CRISTAL   |IM3950/0        |FCO PRISMA X 50 CRISTAL       |P      |     2.945|02/12/2014|F  
CRISTAL   |IOCP155300/02   |CAPUCHON PRISMA NEGRO         |P      |     0.920|02/12/2014|F  
CRISTAL   |IMRC15/H34/4L   |TAPA MET 15 P OPACA LISA      |P      |     1.720|10/01/2013|F  
CRISTAL   |IM76050/0-SI    |FCO BANANO X 50 SAT IMP UNIM  |P      |     0.970|02/20/2007|F  
CRISTAL   |IM3650/0        |FCO CHICAGO X 60 CRISTAL      |P      |     2.614|05/20/2013|F  
CRISTAL   |IM3150/0        |FCO COMETE X  50 CRISTAL      |P      |     0.500|12/15/2006|F  
CRISTAL   |IM50-10         |FCO ODETTE X 10 CRISTAL       |P      |     0.200|11/24/2006|F  
CRISTAL   |IM3250/0        |FCO ELLE X 50 CRISTAL         |P      |     0.900|11/24/2006|F  
CRISTAL   |IE2/E1          |TAPA E2 BLANCA R E1           |P      |     0.948|02/12/2014|F  
CRISTAL   |IM6750/0        |FCO COSTA AZUL X 50 CRISTAL   |P      |     2.600|11/26/2010|F  
CRISTAL   |IM4111          |FCO ESMALTE X 11 CRISTAL      |P      |     0.816|02/12/2014|F  
CRISTAL   |IR-13/13        |INTERIOR LACA ROSCA 13/13     |P      |     0.100|11/03/2006|F  
CRISTAL   |IM1108          |FCO COROT X 13 CRISTAL        |P      |     0.189|02/13/2008|F  
CRISTAL   |IC13157BL       |TAPA ROMA BLANCA              |P      |     0.150|10/16/2009|F  
CRISTAL   |I3/38           |PINCEL 3/38 A NEGRO P/COROT   |P      |     0.101|10/16/2009|F  
CRISTAL   |IM32100/0       |FCO AGUA MARINA X 100 AT      |P      |     0.920|10/19/2006|F  
CRISTAL   |IM31060-S       |FCO ECUATONE X 60 SATINADO    |P      |     2.531|05/20/2013|F  
CRISTAL   |IM0110          |FCO TELMA X 11 CRISTAL        |P      |     0.250|11/27/2009|F  
CRISTAL   |IOCP155400/02   |CAPUCHON COMETE NEGRO         |P      |     0.543|10/01/2013|F  
CRISTAL   |IMRC/200/T4     |TAPA MET 20 STONE P MATE      |P      |     0.750|11/27/2009|F  
CRISTAL   |IM2150/0-S      |FCO LADY X 50 SATINADO        |P      |     2.098|05/20/2013|F  
CRISTAL   |IOC118301C      |TAPA ESFERA TRANSP RS18       |P      |     1.300|10/01/2013|F  
CAFFA     |IBIDX2          |BIDON X 2 LTS.                |P      |     3.380|11/21/2013|F  
CAFFA     |IBIDX1          |BIDON X 1 LT.                 |P      |     1.900|11/21/2013|F  
CAFFA     |IBIDX0.50       |BIDON X 0.50 LT.              |P      |     1.520|11/21/2013|F  
CAFFA     |IBIDX0.25       |BIDON X 0.250 LTS.            |P      |     1.090|11/21/2013|F  
TECNOL    |IETIQ8X4        |ETIQUETA 8 X 4 + RIBBON       |P      |     0.100|01/01/2008|F  
DROQU     |I010032         |ACEITE DE COCO ORIG.MALASIA   |P      |    17.640|03/11/2011|T  
DROQU     |I013580         |SODA CAUSTICA 99% PERLADA     |U      |     2.200|07/01/2013|T  
FABRI     |I204130215      |AMINOLAN LIQ.                 |U      |     3.000|09/30/2009|T  
NHP       |I122801.03.01.00|FCO DELTA X 125 24/410        |P      |     1.124|11/01/2013|F  
NHP       |I122801.01.06.00|FCO RO X 200 24/410           |P      |     1.730|03/13/2014|F  
TECNOL    |IETIQ10X8       |ETIQUETA 10 X 8 + RIBBON      |P      |     0.060|01/04/2008|T  
WITPE     |ICA302020       |CAJA 30 X 20 X 20             |P      |     2.198|05/31/2013|F  
WITPE     |ICA302010       |CAJA 30 X20 X10               |P      |     0.730|01/01/2008|F  
WITPE     |ICA403030       |CAJA 40 X30 X30               |P      |     6.289|04/09/2014|F  
TERMO     |IBLISTER ES SO  |BLISTER ESENCIA SOLIDA        |P      |     0.198|01/01/2008|F  
WITPE     |ICA403020       |CAJA 40 X 30 X 20             |P      |     5.256|05/16/2014|F  
TECNO     |ITA HONG        |TAPA HONGUITO                 |P      |     0.179|01/01/2008|F  
MAYOL     |IROCIO          |FRASCO ROCIO X 240            |P      |     1.820|08/23/2013|F  
RAFAE     |IPARAF          |PARAFINA X KILO               |P      |    14.214|11/05/2013|F  
DINCOS    |IBORS24         |BOM.ROSCA 24 BL/NEGRA         |U      |     0.185|01/14/2008|F  
PLASVEN   |I2001700        |BIDON X 20 LT. C/TAPA         |P      |    17.000|11/19/2013|F  
PLASVEN   |I0201001        |BIDON X 10 LT.220 GR C/TAPA NA|P      |     6.300|05/13/2014|F  
MAYOL     |IESTILO         |ESTILO X 40 S/IMP             |P      |     0.610|07/01/2010|T  
MAYOL     |ITARO88         |TAPA ROSCA DIAM 28 NAT        |P      |     0.200|08/07/2008|T  
SOL20     |IEXXSOD40       |EXXON D40 BIDX20              |P      |    12.827|08/25/2011|T  
SOL20     |IEXXOND60       |EXSON D60 BIDX20              |P      |    14.463|08/25/2011|T  
BALLPQ    |I512            |SODA CAUST.EN PERLAS 99.9%    |P      |     3.560|01/15/2008|F  
PIROP     |IATENASX45      |FCO PVC ATENAS X 45           |P      |     0.900|02/14/2014|F  
PERF      |IEDENFEM        |EDEN FEM                      |U      |   110.000|01/11/2008|T  
PERF      |IKJUNGLEM       |K.JUNGLE MASC.                |U      |   110.000|01/11/2008|F  
MATPRI    |0125TB          |ESENCIA HIERBAS VELA          |U      |    15.500|03/20/2014|T  
MATPRI    |0201-2FP        |ESENCIA ARPEGIO CARTONCITO    |U      |     5.457|01/08/2014|T  
MATPRI    |0201-2PP        |ESENCIA PISO ARPEGE REFORZADO |U      |     8.052|01/08/2014|T  
MATPRI    |0201JP          |ESENCIA PISO ARPEGE           |U      |     4.800|01/25/2008|T  
MATPRI    |0353EP          |ESENCIA EXTRACTO TOMMY MASC   |U      |    18.625|05/20/2014|T  
MATPRI    |0353JP          |GARCÍA ESENCIA EXTRACTO TOMMY |U      |    32.650|05/20/2014|T  
MATPRI    |0353RP          |BRT ESENCIA EXTRACTO TOMMY MAS|U      |    55.090|05/20/2014|T  
MATPRI    |0431-5TP        |ES PISO PINO AUSTRAL REFORZADO|U      |     6.800|03/17/0014|T  
MATPRI    |0431-7TP        |ESENCIA RESINA PINO           |U      |     6.300|01/25/2008|T  
MATPRI    |0460TB          |ESENCIA MANDARINA VELA        |U      |    19.700|03/20/2014|T  
MATPRI    |0460TP          |ES HO MANGO/MANDARINA         |U      |    19.800|04/29/2014|T  
MATPRI    |0608CP          |ESENCIA GINSENG               |U      |     5.895|12/23/2013|T  
